Name,Current Price,S3,S2,S1,Pivot,R1,R2,R3
20MICRONS,162.85,149.15,153.95,158.4,163.2,167.65,172.45,176.9
21STCENMGM,50.95,50.95,50.95,50.95,50.95,50.95,50.95,50.95
360ONE,808.05,749.57,774.78,791.42,816.63,833.27,858.48,875.12
3IINFOLTD,40.0,38.85,39.3,39.65,40.1,40.45,40.9,41.25
3MINDIA,29967.9,28586.07,29043.03,29505.47,29962.43,30424.87,30881.83,31344.27
3PLAND,29.7,26.63,27.97,28.83,30.17,31.03,32.37,33.23
5PAISA,538.1,524.27,529.83,533.97,539.53,543.67,549.23,553.37
63MOONS,419.8,395.47,405.73,412.77,423.03,430.07,440.33,447.37
A2ZINFRA,14.1,13.37,13.63,13.87,14.13,14.37,14.63,14.87
AAATECH,122.7,109.33,115.27,118.98,124.92,128.63,134.57,138.28
AAKASH,10.8,9.8,10.2,10.5,10.9,11.2,11.6,11.9
AAREYDRUGS,54.4,47.28,49.17,51.78,53.67,56.28,58.17,60.78
AARON,257.05,244.62,249.08,253.07,257.53,261.52,265.98,269.97
AARTECH,218.65,186.1,194.55,206.6,215.05,227.1,235.55,247.6
AARTIDRUGS,504.15,488.83,492.42,498.28,501.87,507.73,511.32,517.18
AARTIIND,747.95,723.3,733.05,740.5,750.25,757.7,767.45,774.9
AARTIPHARM,521.55,498.43,508.22,514.88,524.67,531.33,541.12,547.78
AARTISURF,652.95,573.3,601.65,627.3,655.65,681.3,709.65,735.3
AARVEEDEN,27.4,25.43,26.37,26.88,27.82,28.33,29.27,29.78
AARVI,153.5,145.98,148.07,150.78,152.87,155.58,157.67,160.38
AATMAJ,39.6,36.98,37.57,38.58,39.17,40.18,40.77,41.78
AAVAS,1610.05,1487.63,1543.82,1576.93,1633.12,1666.23,1722.42,1755.53
ABAN,70.2,67.7,68.9,69.55,70.75,71.4,72.6,73.25
ABB,6410.45,6250.03,6313.92,6362.18,6426.07,6474.33,6538.22,6586.48
ABBOTINDIA,25895.0,25399.3,25537.2,25716.1,25854.0,26032.9,26170.8,26349.7
ABCAPITAL,231.3,222.18,226.27,228.78,232.87,235.38,239.47,241.98
ABCOTS,222.0,221.2,221.6,221.8,222.2,222.4,222.8,223.0
ABFRL,268.55,253.93,260.22,264.38,270.67,274.83,281.12,285.28
ABINFRA,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8
ABMINTLLTD,69.7,60.93,63.47,66.58,69.12,72.23,74.77,77.88
ABSLAMC,554.95,529.63,540.32,547.63,558.32,565.63,576.32,583.63
ABSLBANETF,48.43,46.85,47.62,48.03,48.8,49.21,49.98,50.39
ABSLLIQUID,1000.0,999.97,999.98,999.99,1000.0,1000.01,1000.02,1000.03
ABSLNN50ET,66.66,64.11,65.03,65.84,66.76,67.57,68.49,69.3
ACC,2533.05,2402.03,2459.02,2496.03,2553.02,2590.03,2647.02,2684.03
ACCELYA,1711.1,1668.4,1684.7,1697.9,1714.2,1727.4,1743.7,1756.9
ACCENTMIC,266.65,245.37,250.18,258.42,263.23,271.47,276.28,284.52
ACCORD,25.65,25.57,25.58,25.62,25.63,25.67,25.68,25.72
ACCURACY,9.25,9.0,9.05,9.15,9.2,9.3,9.35,9.45
ACE,1528.0,1464.47,1492.33,1510.17,1538.03,1555.87,1583.73,1601.57
ACEINTEG,35.3,32.47,33.43,34.37,35.33,36.27,37.23,38.17
ACI,667.2,639.8,652.4,659.8,672.4,679.8,692.4,699.8
ACL,98.15,82.7,85.85,92.0,95.15,101.3,104.45,110.6
ACLGATI,110.45,105.42,107.58,109.02,111.18,112.62,114.78,116.22
ACSAL,50.4,48.2,49.3,49.85,50.95,51.5,52.6,53.15
ADANIENSOL,1062.85,1024.13,1035.32,1049.08,1060.27,1074.03,1085.22,1098.98
ADANIENT,3080.4,2990.48,3028.27,3054.33,3092.12,3118.18,3155.97,3182.03
ADANIGREEN,1806.65,1768.45,1782.75,1794.7,1809.0,1820.95,1835.25,1847.2
ADANIPORTS,1324.6,1296.1,1308.6,1316.6,1329.1,1337.1,1349.6,1357.6
ADANIPOWER,591.6,570.62,578.83,585.22,593.43,599.82,608.03,614.42
ADFFOODS,221.25,207.22,211.88,216.57,221.23,225.92,230.58,235.27
ADL,82.95,76.38,79.32,81.13,84.07,85.88,88.82,90.63
ADORWELD,1462.5,1406.07,1424.33,1443.42,1461.68,1480.77,1499.03,1518.12
ADROITINFO,21.9,21.02,21.33,21.62,21.93,22.22,22.53,22.82
ADSL,137.55,133.1,134.95,136.25,138.1,139.4,141.25,142.55
ADVANIHOTR,80.65,77.18,78.62,79.63,81.07,82.08,83.52,84.53
ADVENZYMES,391.75,376.5,380.85,386.3,390.65,396.1,400.45,405.9
AEGISCHEM,635.65,557.02,575.68,605.67,624.33,654.32,672.98,702.97
AEROFLEX,149.0,140.88,143.87,146.43,149.42,151.98,154.97,157.53
AETHER,838.45,813.35,824.95,831.7,843.3,850.05,861.65,868.4
AFFLE,1105.4,1028.02,1047.33,1076.37,1095.68,1124.72,1144.03,1173.07
AGARIND,913.15,874.77,887.38,900.27,912.88,925.77,938.38,951.27
AGARWALFT,72.8,62.22,64.33,68.57,70.68,74.92,77.03,81.27
AGI,820.05,789.95,803.75,811.9,825.7,833.85,847.65,855.8
AGNI,68.4,66.07,67.23,67.82,68.98,69.57,70.73,71.32
AGRITECH,208.15,199.42,203.48,205.82,209.88,212.22,216.28,218.62
AGROPHOS,45.35,42.27,43.58,44.47,45.78,46.67,47.98,48.87
